featureid	Participant_id	AvgSpotLen	Bases	BioSample	Center Name	Collection_Date	Experiment	geo_loc_name	Instrument	LibraryLayout	Organism
SRR25474187	MIC002	602	61174036	SAMN36771213	UNIVERSIDAD DE ANTIOQUIA	22/2/2019	SRX21206410	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474186	MIC003	602	35133322	SAMN36771214	UNIVERSIDAD DE ANTIOQUIA	1/3/2019	SRX21206411	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474211	MIC005	602	50066534	SAMN36771215	UNIVERSIDAD DE ANTIOQUIA	8/3/2019	SRX21206386	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474200	MIC008	602	49958776	SAMN36771216	UNIVERSIDAD DE ANTIOQUIA	6/3/2019	SRX21206397	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474189	MIC009	602	50886458	SAMN36771217	UNIVERSIDAD DE ANTIOQUIA	8/3/2019	SRX21206408	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474174	MIC010	602	44093490	SAMN36771218	UNIVERSIDAD DE ANTIOQUIA	15/3/2019	SRX21206423	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474163	MIC012	602	50229676	SAMN36771219	UNIVERSIDAD DE ANTIOQUIA	12/3/2019	SRX21206434	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474152	MIC013	602	55968542	SAMN36771220	UNIVERSIDAD DE ANTIOQUIA	15/3/2019	SRX21206445	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474141	MIC014	602	60799592	SAMN36771221	UNIVERSIDAD DE ANTIOQUIA	22/3/2019	SRX21206456	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474132	MIC015	602	56075698	SAMN36771222	UNIVERSIDAD DE ANTIOQUIA	22/3/2019	SRX21206465	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474185	MIC016	602	55713294	SAMN36771223	UNIVERSIDAD DE ANTIOQUIA	22/3/2019	SRX21206412	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474184	MIC017	602	59554054	SAMN36771224	UNIVERSIDAD DE ANTIOQUIA	26/3/2019	SRX21206413	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
